# 右クリックメニュー
GAME_RMENU_DISPDATA,"情報表示"
GAME_RMENU_TRADE,"トレード要請"
GAME_RMENU_POSSESS_LOCK_MENU,"憑依"
GAME_RMENU_POSSESS_LOCK_MYSELF,"自分に憑依"
GAME_RMENU_POSSESS_LOCK_OTHER,"この人に憑依"
GAME_RMENU_POSSESS_UNLOCK,"憑依解除"
GAME_RMENU_POSSESS_UNLOCK_MENU,"憑依"
GAME_RMENU_POSSESS_REMOVE,"憑依を外す"
GAME_RMENU_POSSESS_WEAPON,"右手"
GAME_RMENU_POSSESS_SHIELD,"左手"
GAME_RMENU_POSSESS_ARMOR,"鎧"
GAME_RMENU_POSSESS_NECKLACE,"胸アクセサリー"
GAME_RMENU_POSSESS_LOCK_RIDE,"この人に騎乗"
GAME_RMENU_POSSESS_UNLOCK_RIDE,"騎乗解除"
GAME_RMENU_POSSESS_UNLOCK_RIDE2,"騎乗を外す"
GAME_RMENU_POSSESS_UNLOCK_1,"右手"
GAME_RMENU_POSSESS_UNLOCK_2,"左手"
GAME_RMENU_POSSESS_UNLOCK_3,"鎧"
GAME_RMENU_FRIEND,"フレンドに誘う"
GAME_RMENU_INVITE_PARTY,"パーティーに誘う"
GAME_RMENU_INVITE_RING,"リングに誘う"
GAME_RMENU_COPY_NAME,"名前をコピー"
GAME_RMENU_GREET,"あいさつする"
GAME_RMENU_EMOTION,"エモーション"
GAME_RMENU_OPTION,"設定"
GAME_RMENU_NPC_ACCESS,"話しかける"
GAME_RMENU_GOLEM_ACCESS,"買い物をする"
GAME_RMENU_GOLEM_HOCK_ACCESS,"アイテムを売る"
GAME_RMENU_PARTY_CHGNAME,"パーティー名変更"
GAME_RMENU_PARTY_LEAVE,"パーティーから抜ける"
GAME_RMENU_PARTY_LLEAVE,"パーティーを解散する"
GAME_RMENU_SIGNBOARD,"看板の作成"
GAME_RMENU_SIGNBOARD_CLOSE,"看板の破棄"
GAME_RMENU_SETSTALL,"露店設定"
GAME_RMENU_STALL,"露店を見る"
GAME_RMENU_RECRUIT_SETUP,"募集コメント登録"
GAME_RMENU_RECRUIT_COMMENT,"募集コメントリスト"
GAME_RMENU_POSSESS_ERR_NOEQUIP,"憑依可能な装備がありません"
GAME_RMENU_FURNITURE_ACCESS,"使う"
GAME_RMENU_FURNITURE_REPLACE,"再配置"
GAME_RMENU_FURNITURE_REMOVE,"撤去する"
GAME_RMENU_FURNITURE_THROUGH_OFF,"通れないようにする"
GAME_RMENU_FURNITURE_THROUGH_ON,"通れるようにする"
GAME_RMENU_FURNITURE_SET_BOOTH,"機能を設定する"
GAME_RMENU_FURNITURE_BOOTH_SHOP_BUY,"購入する"
GAME_RMENU_FURNITURE_BOOTH_SHOP_SELL,"売却する"
GAME_RMENU_FURNITURE_BOOTH_SHOP_STOCK,"仕入れる"
GAME_RMENU_FURNITURE_BOOTH_SHOP_NPC,"話しかける"
GAME_RMENU_FURNITURE_ATTRACTION_INFO,"ユニット情報"
GAME_RMENU_FURNITURE_ATTRACTION_FISHING,"水質変更"
GAME_RMENU_RIDEPET_ACCESS,"ポーズを変える"
GAME_RMENU_FURNITURE_RIDE,"騎乗する"
GAME_RMENU_FURNITURE_GETOFF,"降りる"

GAME_RMENU_FURNITURE_RIDE_TITLE,"どこに騎乗する？"
GAME_RMENU_FURNITURE_RIDE_POS0,"主人が騎乗するところ"
GAME_RMENU_FURNITURE_RIDE_POS1,"右手に憑依した人が騎乗するところ"
#GAME_RMENU_FURNITURE_RIDE_POS2,"左手に憑依した人が騎乗するところ"
GAME_RMENU_FURNITURE_RIDE_POS3,"胸アクセサリーに憑依した人が騎乗するところ"
GAME_RMENU_FURNITURE_RIDE_POS4,"上半身装備に憑依した人が騎乗するところ"
GAME_RMENU_FURNITURE_RIDE_CANCEL,"やっぱりやめる"
GAME_RMENU_FURNITURE_RIDE_ERR-1,"何らかの原因で失敗しました。"
GAME_RMENU_FURNITURE_RIDE_ERR-2,"家具が存在しないため騎乗できませんでした。"
GAME_RMENU_FURNITURE_RIDE_ERR-3,"既に他の人が騎乗しているため、騎乗できませんでした。"
GAME_RMENU_FURNITURE_RIDE_ERR-4,"パートナーを装備しているため騎乗できませんでした。"
GAME_RMENU_FURNITURE_RIDE_ERR-5,"騎乗できる状態ではありません。"
GAME_RMENU_FURNITURE_RIDE_ERR-6,"差し押さえ状態のため、騎乗できませんでした。"
GAME_RMENU_FURNITURE_RIDE_ERR-7,"マシナフォーム中は騎乗できません。"

GAME_RMENU_RETURN_TO_REALBODY,"本体に戻る"
GAME_RMENU_CHATROOM_LEAVE,"チャットルームから退室する"
GAME_RMENU_FORMCHANGE,"フォームチェンジ"
GAME_RMENU_FORMCHANGE_NOMAL,"ノーマルフォーム"
GAME_RMENU_FORMCHANGE_MACHINA,"マシナフォーム"
GAME_RMENU_FORMCHANGE_SET,"セットフォーム"		# 09/11/06現在は未使用
GAME_RMENU_BLOCKLIST,"ブロックリストに登録"
GAME_RMENU_STAMPNOTE,"毎日スタンプ帳"
GAME_RMENU_INVITE_BOND,"師弟関係を結ぶ"
GAME_RMENU_LEAVE_BOND,"師弟関係を解消する"
GAME_RMENU_MYPARTNER_STATUS,"パートナーステータス表示"
GAME_RMENU_MYPARTNER_SIMPLE,"かんたんAI設定ウィンドウ表示"
GAME_RMENU_MYPARTNER_CUSTOM,"AIカスタムウィンドウ表示"
GAME_RMENU_MYPARTNER_TALK,"パートナーセリフカスタマイズ"
GAME_RMENU_RECYCLE,"リサイクルゲージ"
GAME_RMENU_EQUIPDATA,"装備情報表示"
GAME_RMENU_MONSTERGUIDE,"旅人のメモ"
GAME_RMENU_MILITARYGAGE,"軍勢力ゲージ"
GAME_RMENU_ABYSSTEAM_LEAVE,"脱退"
GAME_RMENU_ABYSSTEAM_BREAK,"チームを解散する"
GAME_RMENU_AUTORUN,"オートラン"

# 設定サブメニュー
GAME_RMENU_OPTION_0,"トレードを許可する"
GAME_RMENU_OPTION_1,"トレードを不許可にする"
GAME_RMENU_OPTION_2,"パーティーを許可する"
GAME_RMENU_OPTION_3,"パーティーを不許可にする"
GAME_RMENU_OPTION_4,"憑依を許可する"
GAME_RMENU_OPTION_5,"憑依を不許可にする"
GAME_RMENU_OPTION_6,"リングを許可する"
GAME_RMENU_OPTION_7,"リングを不許可にする"
GAME_RMENU_OPTION_8,"蘇生時に選択する"
