
# システムメッセージ(露店)
GAME_SMSG_STALL_ACS_ERR1,"露店が開けませんでした"
GAME_SMSG_STALL_ACS_ERR2,"指定した人は商人ではありません"
GAME_SMSG_STALL_ACS_ERR3,"露店を開いていません"
GAME_SMSG_STALL_ACS_ERR4,"イベント中は露店を見れません"
GAME_SMSG_STALL_ACS_ERR5,"トレード中は露店を見れません"
GAME_SMSG_STALL_ACS_ERR6,"憑依中は露店を見れません"
GAME_SMSG_STALL_ACS_ERR7,"行動不能時は露店を見れません"
GAME_SMSG_STALL_ACS_ERR8,"露店を見れる状態ではありません"
GAME_SMSG_STALL_ACS_ERR9,"露店商はイベント中です"
GAME_SMSG_STALL_ACS_ERR10,"露店商はトレード中です"
GAME_SMSG_STALL_ACS_ERR11,"露店商はが憑依中です"
GAME_SMSG_STALL_ACS_ERR12,"露店商は行動不能状態です"
GAME_SMSG_STALL_ACS_ERR13,"露店商は取引できる状態ではりません"

GAME_SMSG_STALL_VEN_OPEN_ERR1,"露店設定は開けませんでした"
GAME_SMSG_STALL_VEN_OPEN_ERR2,"商人ではないので露店設定はできません"
GAME_SMSG_STALL_VEN_OPEN_ERR3,"お試しプレイ期間中は露店を出すことができません"

GAME_SMSG_STALL_VEN_ERR1,"露店設定ができませんでした"
GAME_SMSG_STALL_VEN_ERR2,"商人ではないので露店設定はできません"
GAME_SMSG_STALL_VEN_ERR3,"露店に出品可能な商品設定がありませんでした"

GAME_SMSG_STALL_VEN_CLOSE_ERR1,"露店商の商品は売り切れました"
GAME_SMSG_STALL_VEN_CLOSE_ERR2,"露店商が商品の再設定をしています"
GAME_SMSG_STALL_VEN_CLOSE_ERR3,"露店商が遠く離れました"
GAME_SMSG_STALL_VEN_CLOSE_ERR4,"露店商がマップ移動しました"
GAME_SMSG_STALL_VEN_CLOSE_ERR5,"露店商がトレードを始めました"
GAME_SMSG_STALL_VEN_CLOSE_ERR6,"露店商が憑依しました"
GAME_SMSG_STALL_VEN_CLOSE_ERR8,"露店商が行動不能状態となりました"
GAME_SMSG_STALL_VEN_CLOSE_ERR9,"露店商がいなくなりました"
GAME_SMSG_STALL_VEN_CLOSE_ERR10,"露店商がイベントを始めました"

GAME_SMSG_STALL_VEN_DEAL_ERR1,"露店を見ていないのに取引しようとしました"
GAME_SMSG_STALL_VEN_DEAL_ERR2,"露店を見ている最中に相手が変わりました"
GAME_SMSG_STALL_VEN_DEAL_ERR3,"指定した人は商人ではありません"
GAME_SMSG_STALL_VEN_DEAL_ERR4,"露店を開いていません"
GAME_SMSG_STALL_VEN_DEAL_ERR5,"露店の客として認識されていませんでした"
GAME_SMSG_STALL_VEN_DEAL_ERR6,"指定した露店は自分の露店です"
GAME_SMSG_STALL_VEN_DEAL_ERR7,"取引可能な商品がありませんでした"
GAME_SMSG_STALL_VEN_DEAL_ERR8,"現在の所持金が取引金額に達していませんでした"
GAME_SMSG_STALL_VEN_DEAL_ERR9,"これ以上アイテムを所持することはできません"
GAME_SMSG_STALL_VEN_DEAL_ERR10,"相手の所持金が上限に達したためキャンセルされました"

# システムメッセージ(サーバーから受信)
GAME_SMSG_RECV_SAVEPOINT_TEXT,"セーブポイントを更新しました"
GAME_SMSG_RECV_SHORTOFMONEY_TEXT,"所持金が足りません"
GAME_SMSG_RECV_SHORTOFDEPOSIT_TEXT,"預金額が足りません"
GAME_SMSG_RECV_WAREHOUSECROWDED_TEXT,"混雑している為倉庫を開けません"
GAME_SMSG_RECV_POSTUREBLOW_TEXT,"構えが「叩き」に変更されました"
GAME_SMSG_RECV_POSTURESLASH_TEXT,"構えが「斬り」に変更されました"
GAME_SMSG_RECV_POSTURESTAB_TEXT,"構えが「突き」に変更されました"
GAME_SMSG_RECV_POSTURETHROW_TEXT,"構えが「投げ」に変更されました"
GAME_SMSG_RECV_POSTUREERROR_TEXT,"構えの変更に失敗しました"
GAME_SMSG_RECV_SKILLLEARN_SUCCESS_TEXT,"スキルを習得しました"
GAME_SMSG_RECV_SKILLLEARN_FAILED_TEXT,"スキルの習得に失敗しました"
GAME_SMSG_RECV_SKILLLEARN_SKILLNOTFOUND_TEXT,"スキル習得情報が存在しません"
GAME_SMSG_RECV_SKILLLEARN_SLOT_TEXT,"スキルスロットが足りません"
GAME_SMSG_RECV_SKILLLEARN_LEVEL_TEXT,"LVが条件を満たしていません"
GAME_SMSG_RECV_SKILLLEARN_RACE_TEXT,"種族が条件を満たしていません"
GAME_SMSG_RECV_SKILLLEARN_SEX_TEXT,"性別が条件を満たしていません"
GAME_SMSG_RECV_SKILLLEARN_JOBLV_TEXT,"職業LVが条件を満たしていません"
GAME_SMSG_RECV_SKILLLEARN_MASTERY_TEXT,"マスタリースキルを複数習得する事はできません"
GAME_SMSG_RECV_SKILLLEARN_ELEMENT_TEXT,"相反する属性のスキルを習得する事はできません"
GAME_SMSG_RECV_SKILLLEARN_NEEDSKILL_TEXT,"習得する為に必要なスキルを持っていません"
GAME_SMSG_RECV_SKILLLEARN_NOTLEARNSKILL_TEXT,"習得していてはいけないスキルを持っています"
GAME_SMSG_RECV_SKILLLEARN_ALREADY_LEARNED_TEXT,"既に習得しています"
GAME_SMSG_RECV_SKILLLEARN_JOB_TEXT,"現在の職業では習得する事は出来ません"
GAME_SMSG_RECV_SHOP_CARDNOTFOUND_TEXT,"クレジットカードを持っていません"
GAME_SMSG_RECV_SHOP_SHORTOFMONEY_TEXT,"所持金が足りません"
GAME_SMSG_RECV_SHOP_SHORTOFCP_TEXT,"CPが足りません"
GAME_SMSG_RECV_SHOP_SHORTOFDEPOSIT_TEXT,"預金額が足りません"
GAME_SMSG_RECV_SHOP_ITEMMAX_TEXT,"これ以上アイテムを所持することはできません"
GAME_SMSG_RECV_BANK_DEPOSITMAX_TEXT,"預金額の上限を超えました"
